ltable_Beer_Name,rtable_Beer_Name,ltable_Brew_Factory_Name,rtable_Brew_Factory_Name,ltable_Style,rtable_Style,ltable_ABV,rtable_ABV
Barrel Aged Imperial Red,Kettle House Bourbon Barrel Road Rash Imperial Red Ale,Hale 's Ales Brewery & Pub,Kettle House Brewing Company,American Amber / Red Ale,American Strong Ale,9.00%,13%
Lower De Boom Barleywine,21st Amendment Bourbon Barrel Lower da Boom Barleywine,21st Amendment Brewery,21st Amendment Brewery,American Barleywine,Barley Wine,11.50%,9.50%
Ulysses Imperial Red Ale,Renegade Scarlett Letter Imperial Red Ale,Barley 's Brewing Company,Renegade Brewing Company,American Amber / Red Ale,American Strong Ale,-,8.50%
Amber Ale With Spanish Orange,Big Bear Mountain Orange Blossom Amber Ale,Dangerous Man Brewing,Big Bear Mountain Brewery,American Amber / Red Ale,Fruit Beer,6.00%,4.50%
Brew Kahuna NW Red Ale,Brew Bus Detour Series : Rollin Dirty Red Ale - Wood Aged,Sky High Brewing,Cigar City Brewing,American Amber / Red Ale,Irish Ale,5.20%,5%
Old Guardian Barley Wine Style Ale - Red Wine Barrel Aged,Brew Bus Detour Series : Rollin Dirty Red Ale - Wood Aged,Stone Brewing Co. .,Cigar City Brewing,American Barleywine,Irish Ale,11.20%,5%
Willoughby American Amber Ale,Willoughby American Amber Ale,Willoughby Brewing,Willoughby Brewing Co. .,American Amber / Red Ale,Amber Ale,4.90%,5.50%
Frost Quake Bourbon Barrel Aged Barley Wine,Lompoc Bourbon Barrel Aged Proletariat Red Ale,Wellington County Brewery,Lompoc Brewing,American Barleywine,Amber Ale,9.80%,6.40%
Ambleside Amber Ale,Bridge Ambleside Amber Ale - Pomegranate & Galena Hops,Bridge Brewing Company,Bridge Brewing Company,American Amber / Red Ale,Amber Ale,5.30%,5.30%
Mountain City Amber Ale,Fin City Jackspot Amber Ale,Tommyknocker Brewery,Fin City Brewing Company,American Amber / Red Ale,Amber Ale,5.40%,5.80%
Mountain City Amber Ale,Colorado Mountain Ole 59er Amber Ale,Tommyknocker Brewery,Colorado Mountain Brewery,American Amber / Red Ale,Amber Ale,5.40%,5.20%
Imperial Red Ale ( Spring Seasonal ),Ballast Point Tongue Buckler Imperial Red Ale,Edge Brewing Company,Ballast Point Brewing Company,American Amber / Red Ale,American Strong Ale,8.50%,10%
Heatwave Red Ale,La Quinta Brewing Co. . Heatwave Red Ale,La Quinta Brewing Co. .,La Quinta Brewing Co. .,American Amber / Red Ale,Amber Ale,6.00%,6%
Unite Red Rye Ale,Midnight Sun Unite Double Red Hot Ale &#40; 2015 &#41;,The Pike Brewing Company,Midnight Sun Brewing Company,American Amber / Red Ale,Amber Ale,4.60%,7.50%
Red Dread Imperial Red Ale,Two Brothers Revelry Imperial Red Ale,Bitter Root Brewing,Two Brothers Brewing Company,American Amber / Red Ale,American Strong Ale,8.24%,9.50%
Red Toad Amber Ale,Baird Red Rose Amber Ale,Blue Cat Brew Pub,Baird Brewing Co. .,American Amber / Red Ale,California Common,5.70%,5.40%
Red Dirt Imperial Red Ale,AleSmith YuleSmith &#40; Winter &#41; Imperial Red Ale,Wiley Roots Brewing Co,AleSmith Brewing Company,American Amber / Red Ale,American Strong Ale,8.20%,8.50%
Red Fox Amber Ale,Big Texan Texas Red Amber Ale,Rogue Ales,Big Texan Brewery,American Amber / Red Ale,Amber Ale,-,4.50%
Mount Washington Organic Amber Ale,Outpost Mr. Grain Jeans Organic Amber Ale,Peak Organic Brewing Company,Lakefront Brewery,American Amber / Red Ale,Amber Ale,-,5.50%
Imperial Moustache Red Ale,Phillips Double Dragon Imperial Red Ale,Salty Nut Brewery,Phillips Brewing Co. .,American Amber / Red Ale,American Strong Ale,6.00%,8.20%
Thomas Hooker Old Marley Barleywine,Thomas Hooker Old Marley Barleywine,Thomas Hooker Brewing Company,Thomas Hooker Brewing Company,American Barleywine,Barley Wine,10.00%,10%
Centurion Barleywine Ale,Golden City Centurion Barleywine Ale,Golden City Brewery,Golden City Brewery,American Barleywine,Barley Wine,-,11.20%
Red Ale Priprioca,Amazon Beer Priprioca Red Ale,Cervejaria Amaz_ ยด nia Ltda .,Amazon Beer,American Amber / Red Ale,Amber Ale,6.00%,6%
Big Red Balls,Hillcrest Big Red Balls,Hillcrest Brewing Company,Hillcrest Brewing Company,American Amber / Red Ale,Imperial IPA,8.00%,8%
Mountain Goat Fancy Pants Amber Ale,Breckenridge Mountain Series : Hoppy Amber Ale,Mountain Goat Beer Pty Ltd,Breckenridge Brewery,American Amber / Red Ale,Amber Ale,5.40%,6.10%
Alpine Mountain Amber Ale,Breckenridge Mountain Series : Hoppy Amber Ale,Beer By Design,Breckenridge Brewery,American Amber / Red Ale,Amber Ale,5.90%,6.10%
Hoppy Amber Ale ( Mountain Series ),Colorado Mountain Ole 59er Amber Ale,Breckenridge Brewery,Colorado Mountain Brewery,American Amber / Red Ale,Amber Ale,6.10%,5.20%
Hoppy Face Amber Ale,2nd Story Hoppy New Year Amber Ale,Hoppy Brewing Co. .,2nd Story Brewing Company,American Amber / Red Ale,Amber Ale,6.10%,5.70%
Bonehead Red Bourbon Barrel Aged Imperial Red,Andersonville Bourbon Barrel Aged Sour Gangster,Four Peaks Brewing Company - 8th Street Brewery,Andersonville Brewing Company,American Amber / Red Ale,Sour Red/Brown,8.00%,5.50%
Red Rose Amber Ale,Upland Rad Red Amber Ale,Baird Brewing Company / Fishmarket Taproom,Upland Brewing Company,American Amber / Red Ale,Amber Ale,5.40%,5.60%
Freedom Bridge Amber Ale,Bridge Ambleside Amber Ale - Pomegranate & Galena Hops,Barley Brothers Brewery & Grill,Bridge Brewing Company,American Amber / Red Ale,Amber Ale,-,5.30%
Buckleys Original Ale,Buckleys Original Ale,Buckley 's Beers,Yarra Flats Brewery,American Amber / Red Ale,English Pale Ale,4.50%,4.90%
Barrel Aged Red Ale,Riverbend Barrel Aged Right Said Red,BearWaters Brewing Co. .,Riverbend Brewing & Sports Pub,American Amber / Red Ale,American Strong Ale,6.70%,9.20%
Double Dread Imperial Red Ale,Kinetic Infrared Imperial Red Ale,Mad River Brewing Company,Kinetic Brewing Company,American Amber / Red Ale,American Strong Ale,8.60%,9.30%
Double Dragon Imperial Red Ale,Yukon You Only Live Once Imperial Red Ale,Phillips Brewing Company,Yukon Brewing Company,American Amber / Red Ale,Amber Ale,8.20%,7.50%
Saint Gleason Imperial Red Ale,Yukon You Only Live Once Imperial Red Ale,Abita Brewing Co. .,Yukon Brewing Company,American Amber / Red Ale,Amber Ale,-,7.50%
Indian Red Head,Catawba Valley Indian Head Red,Catawba Brewing Co. .,Catawba Valley Brewing Company,American Amber / Red Ale,Amber Ale,5.00%,5%
Saint Gleason Imperial Red Ale,Renegade Scarlett Letter Imperial Red Ale,Abita Brewing Co. .,Renegade Brewing Company,American Amber / Red Ale,American Strong Ale,-,8.50%
Bourbon Barrel Ro Shampo Imperial Red Ale,Renegade Scarlett Letter Imperial Red Ale,Figure 8 Brewing,Renegade Brewing Company,American Amber / Red Ale,American Strong Ale,-,8.50%
Old Detroit Amber Ale,Maldita Old Continent American Amber Ale,Frankenmuth Brewery,Faustino Microcervejeira,American Amber / Red Ale,Amber Ale,5.60%,6%
Ale Mania Imperial Red Ale,Kern River Dirty Hippie Imperial Red Ale,Ale-Mania,Kern River Brewing,American Amber / Red Ale,American Strong Ale,9.50%,8%
Ale Mania Imperial Red Ale,Worthy Eruption Imperial Red Ale,Ale-Mania,Worthy Brewing Company,American Amber / Red Ale,American Strong Ale,9.50%,8%
Three Beavers Imperial Red Ale,Worthy Eruption Imperial Red Ale,Howe Sound Inn & Brewing Company,Worthy Brewing Company,American Amber / Red Ale,American Strong Ale,7.50%,8%
Radeau Red Ale,Coopers Cave Radeau Red Ale,Cooper 's Cave Ale Company,Coopers Cave Ale Company,American Amber / Red Ale,Irish Ale,5.50%,-
Monkey King Amber Ale,RJ King Wingwalker Amber Ale,Moonzen Brewery,Genesee Brewing Company &#40; North American Breweries &#41;,American Amber / Red Ale,Oktoberfest/M _ $ rzen,5.00%,4.50%
Big Red Hoppy Barn,21st Amendment Big Hoppy Red Bird,Westfield River Brewing Company,21st Amendment Brewery,American Amber / Red Ale,Amber Ale,9.50%,7.10%
Big V Amber Ale,Big Bear Mountain Orange Blossom Amber Ale,FreeWheel Brewing Company,Big Bear Mountain Brewery,American Amber / Red Ale,Fruit Beer,4.00%,4.50%
Hop Around Imperial Red Ale,Oak Creek King Crimson Imperial Red Ale,Big Bay Brewing Co. .,Oak Creek Brewing Co. .,American Amber / Red Ale,American Strong Ale,9.00%,9.50%
Hop Around Imperial Red Ale,Figueroa Mountain / Pizza Port Shark Lips Imperial Red Ale,Big Bay Brewing Co. .,Figueroa Mountain Brewing,American Amber / Red Ale,American Strong Ale,9.00%,8%
Channary Imperial Red Ale,Two Brothers Revelry Imperial Red Ale,Narrows Brewing Co. .,Two Brothers Brewing Company,American Amber / Red Ale,American Strong Ale,9.40%,9.50%
Double Red Hot Ale,Below Grade Super Duty Double Red Ale,Midnight Sun Brewing Co. .,Below Grade Brewing LLC,American Amber / Red Ale,American Strong Ale,7.57%,7.70%
Crater Lake Amber Ale,Flathead Lake Dock Start Amber Ale,Klamath Basin Brewing Co. - The Creamery Brew Pub And Grill,Flathead Lake Brewing Company,American Amber / Red Ale,Amber Ale,6.00%,5.60%
American India Red Ale,Lofty Zeb_s American Red Ale,Black Shirt Brewing Co. .,Lofty Brewing Company,American Amber / Red Ale,Amber Ale,7.18%,5.40%
Fresh Hop Red,Laurelwood Fresh Hop Free Range Red &#40; Amarillo &#41;,Liquid Mechanics Brewing Co. .,Laurelwood Public House & Brewery,American Amber / Red Ale,Amber Ale,7.40%,6.10%
Escanaba River Amber Ale,Piney River McKinney Eddy Amber Ale,Dead Bear Brewing Co. .,Piney River Brewing Company,American Amber / Red Ale,Amber Ale,5.76%,-
5 Star Amber Ale,The Civil Life Stevie_s 5 Star Amber Ale,The Civil Life Brewing Company,The Civil Life Brewing Company,American Amber / Red Ale,Amber Ale,5.00%,5%
46 Star Oklahoma Amber Ale,The Civil Life Stevie_s 5 Star Amber Ale,Bricktown Brewery,The Civil Life Brewing Company,American Amber / Red Ale,Amber Ale,-,5%
The Unforgiven Amber Ale,The Civil Life Stevie_s 5 Star Amber Ale,Rush River Brewing Company,The Civil Life Brewing Company,American Amber / Red Ale,Amber Ale,5.80%,5%
Boundary Bay Amber Ale,Half Moon Bay Mavericks Amber Ale,Boundary Bay Brewery & Bistro,Half Moon Bay Brewing Company,American Amber / Red Ale,Amber Ale,-,4.80%
Killer Red Fresh Hop India Red Ale,Central City Red Racer India Style Red Ale,Double Mountain Brewery & Taproom,Central City Brewers + Distillers,American Amber / Red Ale,Irish Ale,7.20%,5.50%
Killer Red Fresh Hop India Red Ale,8 Wired Tall Poppy India Red Ale,Double Mountain Brewery & Taproom,Renaissance Brewing,American Amber / Red Ale,Amber Ale,7.20%,7%
Buffalo Soul Jah Imperial Red Ale,Lagunitas Imperial Red Ale,Three Heads Brewing,Lagunitas Brewing Company &#40; Heineken &#41;,American Amber / Red Ale,American Strong Ale,9.20%,7.80%
Alaskan Imperial Red Ale ( Pilot Series ),Lagunitas Imperial Red Ale,Alaskan Brewing Co. .,Lagunitas Brewing Company &#40; Heineken &#41;,American Amber / Red Ale,American Strong Ale,8.50%,7.80%
Big Axe Red Ale,Big Island Red Giant Ale,Big Axe Brewing Company,Big Island Brewhaus,American Amber / Red Ale,American Strong Ale,6.80%,6.50%
The Live Bait Amber Ale,BNS The Hills Have Eyes Amber Ale,Mudhook Brewing Company,BNS Brewing & Distilling,American Amber / Red Ale,Amber Ale,6.00%,5.20%
Rock Steady Red,Acoustic Rock Steady Red Cider,The Rock Wood Fire Pizza & Brewery,Acoustic Brewing Company,American Amber / Red Ale,Cider,5.00%,6%
Bourbon Barrel Ro Shampo Imperial Red Ale,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,Figure 8 Brewing,Fulton Beer Company,American Amber / Red Ale,American Strong Ale,-,8.50%
Bourbon Barrel Ro Shampo Imperial Red Ale,Legacy Bourbon Barrel Hedonism Red,Figure 8 Brewing,Legacy Brewing,American Amber / Red Ale,American Strong Ale,-,7.10%
Red 's Heaven 15th Anniversary Imperial Red Ale,Austin Beerworks Battle Axe Imperial Red Ale,Flying Bison Brewing Company,Austin Beerworks,American Amber / Red Ale,American Strong Ale,8.30%,8%
Red 's Heaven 15th Anniversary Imperial Red Ale,Knee Deep McCarthy_s Bane Imperial Red Ale,Flying Bison Brewing Company,Knee Deep Brewing Company,American Amber / Red Ale,American Strong Ale,8.30%,8%
Simeon Jones River Valley Amber Ale,Metolius River Ales Rusty Spinner Amber Ale,Picaroons Brewing Co. .,Genesee Brewing Company &#40; North American Breweries &#41;,American Amber / Red Ale,Amber Ale,4.50%,5.10%
Red Shedman 's Imperial Amber Ale,Boxing Cat Firecracker Imperial Red Ale,57 Brew Pub & Bistro,Boxing Cat Brewery,American Amber / Red Ale,Amber Ale,7.60%,6.60%
Spencer Creek Amber Ale,Ruby Mountain Angel Creek Amber Ale,Mia & Pia 's Pizzeria And Brewhouse,Ruby Mountain Brewing Company,American Amber / Red Ale,Amber Ale,5.50%,-
Rock River Red Ale,Boxing Rock Temptation Red Ale,Berghoff Brewery,Boxing Rock Brewing Company,American Amber / Red Ale,Amber Ale,-,6%
AmEn ! Barleywine - Barrel Aged,Tighthead Barrel Aged Old Kaya Dog Barleywine,Cahoots Brewing,Tighthead Brewing Company,American Barleywine,Barley Wine,11.10%,10.30%
British Knight Scotch Red Ale,Oskar Blues British Knight Scotch Red Ale,Oskar Blues Grill & Brew,Oskar Blues Brewery,American Amber / Red Ale,Scottish Ale,7.40%,7.40%
Climax Noel - Imperial Red Ale,Edge Imperial Red Ale &#40; Spring Seasonal &#41;,Eel River Brewing Co. .,Edge Brewing Company,American Amber / Red Ale,American Strong Ale,9.20%,8.50%
Rhino Chaser Imperial Red Ale,Edge Imperial Red Ale &#40; Spring Seasonal &#41;,Pizza Port Solana Beach,Edge Brewing Company,American Amber / Red Ale,American Strong Ale,9.50%,8.50%
Climax Noel - Imperial Red Ale,Rusty Truck Stupiphany Imperial Red Ale,Eel River Brewing Co. .,Rusty Truck Brewing / Roadhouse 101,American Amber / Red Ale,American Strong Ale,9.20%,8%
Deputation Imperial Red Ale,Rock Bottom Orland Park King of Hearts Imperial Red Ale,Brannon 's Pub and Brewery,Rock Bottom Orland Park,American Amber / Red Ale,American Strong Ale,8.00%,7.60%
Red RYEding Hood,Chapman_s Red RYEding Hood,Chapman 's Brewing Company,Chapman_s Brewing Company,American Amber / Red Ale,Specialty Grain,10.00%,10%
Stone Liberty Station Outbreak Series : Red Ale,Brew Bus Detour Series : Rollin Dirty Red Ale - Wood Aged,Stone Brewing Co. .,Cigar City Brewing,American Amber / Red Ale,Irish Ale,7.00%,5%
San Marcos Red Amber Ale,Fish Rock Red Emperor Amber Ale,San Marcos Brewery & Grill,Australian Independent Brewers,American Amber / Red Ale,Amber Ale,5.90%,4.50%
Flying Monkey Amber Ale,Flying Monkeys Amber Ale,Flying Monkey Brewing Company,Flying Monkeys Craft Brewery,American Amber / Red Ale,Amber Ale,4.60%,5%
Oak-Aged Backburner ( Imperial Barley Wine Style Ale ),Amsterdam X Sawdust City X Great Lakes X Indie Ale Barley Wine &#40; Oak &#41;,Southern Tier Brewing Company,Amsterdam Brewing Company,American Barleywine,Barley Wine,9.60%,10%
Kickin ' Chicken Bourbon Barrel Barley Wine,Elevator Barrel Aged Barley Wine,Santa Fe Brewing Company,Elevator Brewing Company,American Barleywine,Barley Wine,12.00%,-
JT Schmid 's Emil 's Amber Ale,JT Schmids Emils Amber Ale,JT Schmid 's Restaurant & Brewery,JT Schmids Brewhouse & Eatery,American Amber / Red Ale,Amber Ale,5.20%,5.20%
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Columbus Bourbon Barrel Aged Uncle Rusty,Fitger 's Brewhouse,Columbus Brewing Company,American Barleywine,American Strong Ale,-,-
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Columbus Bourbon Barrel Aged Uncle Rusty,Stone Brewing Co. .,Columbus Brewing Company,American Barleywine,American Strong Ale,11.20%,-
Wobbly Red Ale,Crannog Wobbly Toddler Red Milk Ale,Dirty Hands Brewing Company,Crannog Ales,American Amber / Red Ale,English Strong Ale,5.90%,7.50%
Revenuers Red Ale,Catawba Valley Revenuers Red Ale,Catawba Brewing Co. .,Catawba Valley Brewing Company,American Amber / Red Ale,Irish Ale,5.20%,5.20%
Sierra Amber Ale,Chy_e Sierra Amber Ale,Silver Peak Restaurant & Brewery,Zamecky Pivovar Chy_e,American Amber / Red Ale,Amber Ale,4.50%,5.30%
Redeemer Imperial Red Ale,Laguna Beach Grateful Red Imperial Red Ale,Boston Beer Works - Canal Street,Laguna Beach Brewing,American Amber / Red Ale,American Strong Ale,8.20%,11%
Red Toad Amber Ale,Trailhead Red Amber Ale,Blue Cat Brew Pub,Trailhead Brewing Co. .,American Amber / Red Ale,Amber Ale,5.70%,-
S : t Eriks Unite Red Ale,Daytona Beach FL Wildflower Unite Red Ale,S : t Eriks Bryggeri,Daytona Beach Brewing Company,American Amber / Red Ale,Amber Ale,4.60%,5.90%
Creeper Trail Amber Ale,Black Diamond Steep Trail Amber Ale,Wolf Hills Brewing Company,Black Diamond Brewing Company,American Amber / Red Ale,Amber Ale,4.80%,5.70%
Alexander Keith 's Red Amber Ale,Swashbuckler Red Sea Amber Ale,Alexander Keith 's,Swashbuckler Brewing Company,American Amber / Red Ale,Amber Ale,5.00%,-
MovAmber Moustache Ale,Bull City Movamber Moustache Ale,Bull City Burger And Brewery,Bull City Burger and Brewery,American Amber / Red Ale,Amber Ale,-,-
Hooligan Amber Ale,Bentley Hooligan Amber Ale,Bentley Brewing Company / Dark Horse Tavern,Bentley Brewing Co. / Dark Horse Tavern,American Amber / Red Ale,Amber Ale,6.00%,6%
Commander Clifford _ _ s Imperial Red Ale,Proof Abandoned Planet Imperial Red Ale,The Wrecking Bar Brewpub,Proof Brewing Company,American Amber / Red Ale,Amber Ale,9.00%,7.50%
Bourbon Barrel Aged Behemoth With Cherries,Lompoc Bourbon Barrel Aged Old Tavern Rat,3 Floyds Brewing Co. .,Lompoc Brewing,American Barleywine,Barley Wine,12.50%,9.70%
John Barleycorn - Bourbon Barrel Aged,Actual Bourbon Barrel Aged Elektron,Mad River Brewing Company,Actual Brewing Company,American Barleywine,Amber Ale,12.50%,7.30%
Bitter Orange Blossom,I & I Bitter Orange Blossom,I & I Brewing,I & I Brewing,American Amber / Red Ale,Amber Ale,5.30%,5.30%
Red Rock Amber Ale,Elk Mountain Rock Slide Amber Ale,OPA-OPA Steakhouse & Brewery,Elk Mountain Brewing Company,American Amber / Red Ale,Amber Ale,6.00%,5.50%
Fire Brew Red Ale,Conshohocken Hale Fire Red Ale,Minhas Craft Brewery,Conshohocken Brewing Co. .,American Amber / Red Ale,Amber Ale,5.50%,6.60%
Willimantic Riverfest Red,Willimantic Riverfest Red Ale,Willimantic Brewing Co. .,Willimantic Brewing Company,American Amber / Red Ale,Amber Ale,5.20%,5.20%
Buffalo Trace Bourbon Barrel Aged Amber Ale,Bull & Barrel Session Style - Amber Ale,Wolf Hills Brewing Company,Bull & Barrel Brew Pub,American Amber / Red Ale,Amber Ale,-,4.70%
Fresh Hopped Harvest Ale,10 Barrel Crosby Farms Harvest Fresh Hop Ale,Big Al Brewing,10 Barrel Brewing &#40; AB InBev &#41;,American Amber / Red Ale,India Pale Ale &#40; IPA &#41;,-,5.50%
Oatmeal Raisin Cookie Ale,Aftershock Oatmeal Raisin Cookie Ale,Bluebird Microcreamery & Brewery,Aftershock Brewing Company,American Amber / Red Ale,Golden Ale/Blond Ale,5.90%,5.50%
Premium Red Ale,Ranga Premium Red Ale,Uehara Shuzou Co. Ltd. / Echigo Beer Pub,Southern Bay Brewing Company,American Amber / Red Ale,Amber Ale,6.00%,4.50%
Red Curry Ale,Hideout Red Curry Ale,Hideout Brewing Company,The Hideout Brewing Company,American Amber / Red Ale,Amber Ale,5.50%,-
Rabbit Punch Irish Red Ale,300 Suns Rabbit Mountain Red Ale,Ram Restaurant & Brewery,300 Suns Brewing,American Amber / Red Ale,Amber Ale,5.70%,6%
Old Blarney Barleywine - Bourbon Barrel Aged,21st Amendment Bourbon Barrel Lower da Boom Barleywine,Moylan 's Brewery,21st Amendment Brewery,American Barleywine,Barley Wine,10.00%,9.50%
Sledgehammer Imperial Red Ale,Laurelwood Organic Deranger Imperial Red Ale,Cambridge Brewing Company,Laurelwood Public House & Brewery,American Amber / Red Ale,American Strong Ale,7.75%,8.60%
Legends Of The Bay Giant 's Tomb,Legends of the Bay Ghosts of Hope Island,Hockley Valley Brewing Co. .,Hockley Valley Brewing & Malting Company,American Amber / Red Ale,Amber Ale,5.00%,5%